ts_code,trade_date,vol,price,amount,pre_close,turnover_rate,volume_ratio,float_share
159312.SZ,20260820,0.0,,0.0,1.187,,0.0,
159311.SZ,20260820,200.0,1.475,295.0,1.46,,0.023303,
159310.SZ,20260820,33900.0,2.91,98649.0,2.875,,0.404843,
159309.SZ,20260820,3700.0,1.403,5191.1,1.406,,0.0097088,
159307.SZ,20260820,533000.0,1.021,544193.0,1.024,,0.688955,
159306.SZ,20260820,0.0,,0.0,1.129,,0.0,
159305.SZ,20260820,41900.0,0.833,34902.7,0.821,,0.0972219,
159303.SZ,20260820,504300.0,1.646,830077.8,1.594,,0.753898,
159302.SZ,20260820,0.0,,0.0,1.327,,0.0,
159301.SZ,20260820,9800.0,0.958,9388.4,0.96,,0.0404792,
159300.SZ,20260820,39500.0,5.002,197579.0,4.984,,0.235248,
159299.SZ,20260820,14000.0,0.677,9478.0,0.673,,0.0533465,
159298.SZ,20260820,0.0,,0.0,1.22,,0.0,
159297.SZ,20260820,2013700.0,0.757,1524370.9,0.729,,0.581335,
159296.SZ,20260820,0.0,,0.0,1.004,,0.0,
159295.SZ,20260820,75700.0,1.058,80090.6,1.073,,1.04433,
159293.SZ,20260820,0.0,,0.0,1.067,,0.0,
159292.SZ,20260820,0.0,,0.0,1.18,,0.0,
159291.SZ,20260820,0.0,,0.0,1.176,,0.0,
159290.SZ,20260820,2400.0,1.146,2750.4,1.144,,0.0609236,
159289.SZ,20260820,0.0,,0.0,1.083,,0.0,
159288.SZ,20260820,0.0,,0.0,0.988,,0.0,
159111.SZ,20260820,0.0,,0.0,102.309,,0.0,
159110.SZ,20260820,0.0,,0.0,102.35,,0.0,
159109.SZ,20260820,22800.0,0.832,18969.6,0.827,,0.18101,
123277.SZ,20260820,5067.0,140.201,710398.467,140.3,,,
123275.SZ,20260820,710.0,141.799,100677.29,141.072,,,
123274.SZ,20260820,120.0,143.223,17186.76,143.24,,,
123273.SZ,20260820,12670.0,362.001,4586552.67,359.88,,,
123272.SZ,20260820,60.0,152.962,9177.72,152.555,,,
123271.SZ,20260820,490.0,159.8,78302.0,159.153,,,
123270.SZ,20260820,3750.0,256.512,961920.0,257.0,,,
123269.SZ,20260820,230.0,146.76,33754.8,146.689,,,
123268.SZ,20260820,3460.0,192.5,666050.0,189.5,,,
123267.SZ,20260820,1370.0,318.237,435984.69,318.819,,,
123266.SZ,20260820,120.0,138.303,16596.36,138.155,,,
123265.SZ,20260820,680.0,135.0,91800.0,134.266,,,
123264.SZ,20260820,210.0,123.341,25901.61,123.205,,,
123263.SZ,20260820,100.0,148.691,14869.1,148.39,,,
123262.SZ,20260820,70.0,132.247,9257.29,132.247,,,
123261.SZ,20260820,25860.0,169.1,4372926.0,167.001,,,
123260.SZ,20260820,260.0,140.599,36555.74,140.397,,,
123259.SZ,20260820,260.0,153.98,40034.8,154.0,,,
123258.SZ,20260820,4980.0,336.047,1673514.06,333.245,,,
123257.SZ,20260820,660.0,154.728,102120.48,153.897,,,
123255.SZ,20260820,2640.0,428.168,1130363.52,424.02,,,
123253.SZ,20260820,70.0,134.058,9384.06,134.005,,,
123252.SZ,20260820,250.0,135.84,33960.0,135.7,,,
123250.SZ,20260820,10.0,124.67,1246.7,124.612,,,
123247.SZ,20260820,450.0,186.023,83710.35,186.007,,,
123245.SZ,20260820,1640.0,312.0,511680.0,306.3,,,
123243.SZ,20260820,590.0,193.443,114131.37,193.346,,,
123241.SZ,20260820,2730.0,867.554,2368422.42,863.5,,,
123276.SZ,20260820,3837.0,168.0,644616.0,167.3,,,
123278.SZ,20260820,12836.0,159.001,2040936.836,159.2,,,
123235.SZ,20260820,33560.0,164.0,5503840.0,170.98,,,
123279.SZ,20260820,15094.0,170.23,2569451.62,170.1,,,
127068.SZ,20260820,160.0,123.58,19772.8,123.7,,,
127067.SZ,20260820,14562.0,185.0,2693970.0,184.3,,,
127064.SZ,20260820,420.0,137.019,57547.98,136.951,,,
127062.SZ,20260820,380.0,123.361,46877.18,123.58,,,
127061.SZ,20260820,48780.0,111.301,5429262.78,113.36,,,
127060.SZ,20260820,70.0,129.02,9031.4,129.147,,,
