ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
603882.SH,20260820,30.76,2.3673,4.0737,1.12,,,2.2445,2.363,2.4091,2.8609,2.8609,46325.8,46013.5,26739.4,1424980.0,1415370.0,
600835.SH,20260820,18.23,0.4315,1.1033,0.55,23.1719,23.929,1.2985,0.9517,0.9494,2.3039,1.9748,100729.0,80650.4,31543.1,1836300.0,1470260.0,
603997.SH,20260820,11.51,1.4797,2.5535,0.84,32.2842,22.0282,2.6628,0.6428,0.578,,0.9296,127226.0,127226.0,73722.4,1464380.0,1464380.0,
000860.SZ,20260820,10.46,0.8763,1.4215,0.58,,,1.13,1.0741,1.2168,1.434,,74176.7,74176.7,45725.6,775888.0,775888.0,
003000.SZ,20260820,10.43,0.8903,1.1989,0.61,19.3742,19.0834,3.193,1.9252,1.8181,3.7903,3.7695,45089.4,30806.0,22876.9,470283.0,321307.0,
600569.SH,20260820,1.74,0.466,1.4498,0.87,,,3.4291,0.1666,0.1688,,,287242.0,287242.0,92331.4,499801.0,499801.0,
300632.SZ,20260820,18.49,5.397,6.3186,0.82,,,3.2576,7.011,7.1563,0.5006,0.5217,30518.2,22119.6,18893.4,564281.0,408991.0,
301365.SZ,20260820,38.46,2.2557,5.5235,0.47,111.512,161.256,3.9836,9.5252,9.7339,2.2243,1.7445,18242.9,12346.6,5042.14,701621.0,474849.0,
600137.SH,20260820,17.95,0.9356,2.1167,0.78,53.9922,56.5901,3.0983,4.4765,4.3755,1.0362,1.1142,9721.76,9721.76,4297.28,174506.0,174506.0,
002670.SZ,20260820,10.95,0.6521,1.8245,0.57,77.6277,103.85,1.8691,11.8556,12.7066,,,193508.0,162335.0,58016.0,2118920.0,1777570.0,
002615.SZ,20260820,6.56,1.7194,2.1962,0.7,52.3108,132.473,1.5354,1.1341,1.0676,3.1562,,55981.2,30221.7,23661.2,367237.0,198254.0,
300120.SZ,20260820,9.0,10.2457,11.0588,0.62,,,2.0609,2.006,1.9395,,,57439.4,52744.7,48866.5,516954.0,474702.0,
600616.SH,20260820,4.31,0.926,1.4587,0.59,1413.19,7009.95,1.4906,5.4641,5.6525,1.1601,1.1601,66900.5,66900.5,42471.3,288341.0,288341.0,
920690.BJ,20260820,16.45,2.2099,4.1504,0.48,19.6693,19.4378,2.2974,3.6301,3.5475,1.8705,2.3381,8619.0,5602.88,2983.33,141783.0,92167.4,
003033.SZ,20260820,65.54,1.8956,5.6608,0.41,30.5914,34.743,3.7482,2.7727,2.7383,0.7629,0.7629,8175.0,8074.36,2703.84,535790.0,529194.0,
