ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
300545.SZ,20260819,28.68,6.7129,8.1129,1.08,47.8555,55.6799,2.4416,4.5424,4.8365,0.677,0.3487,18546.1376,11955.8935,9892.7109,531903.0084,342894.9252
603258.SH,20260819,12.34,1.1228,2.043,0.94,,,1.5371,7.784,8.0339,,,24276.475,24134.135,13263.3134,299571.7632,297815.2876
601200.SH,20260819,6.92,0.5384,1.2376,1.19,15.4457,15.4427,0.7882,1.4886,1.5063,1.4451,1.9509,134623.0251,134623.0251,58565.0067,931591.3676,931591.3676
000789.SZ,20260819,4.04,0.3604,0.7113,0.95,111.0244,,0.4993,0.7072,0.7491,3.5337,3.5338,79742.0215,79742.0215,40403.4811,322157.7608,322157.7608
300196.SZ,20260819,17.61,5.5884,7.1303,0.7,22.0542,22.1303,1.4961,2.2936,2.315,1.6815,2.5223,40882.2128,24702.9832,19361.1229,719935.7181,435019.4778
920275.BJ,20260819,6.71,0.8905,2.39,0.91,242.0695,282.9764,4.5758,13.9305,13.4254,0.8942,0.3726,15937.76,13191.4521,4914.9052,106942.3696,88514.6436
688135.SH,20260819,25.14,6.1304,8.2129,1.22,,3244.9057,3.6966,9.4765,8.9517,,,23310.3941,23310.3941,17399.5531,586023.2046,586023.2046
300374.SZ,20260819,10.57,1.1442,2.2015,1.21,,,3.66,1.3534,1.3076,,,24591.2337,24588.3447,12779.4489,259929.3011,259898.7538
603324.SH,20260819,27.25,3.4445,9.7891,1.28,,,2.5533,3.6987,4.5109,0.4459,,15278.448,14767.958,5196.376,416337.708,402426.8555
301012.SZ,20260819,24.0,4.7126,7.3876,0.88,120.304,105.6485,3.9677,3.6958,3.5271,0.4226,0.1667,19696.0162,19696.0162,12564.3882,472704.48,472704.48
688310.SH,20260819,14.72,0.7473,2.2138,0.97,37.2466,42.6575,2.9582,5.4062,5.4101,,1.6716,16432.46,16432.46,5547.012,241885.8112,241885.8112
688169.SH,20260819,118.0,2.728,3.451,1.07,22.465,21.583,2.1427,1.6383,1.5711,0.6453,0.4403,25955.1118,25955.1118,20517.3707,3062702.98,3062702.98
000629.SZ,20260819,2.99,1.2024,2.4001,1.42,,362.8666,2.2467,3.1248,3.005,,,929094.7845,929044.443,465428.5444,2777993.3922,2777842.8756
300797.SZ,20260819,14.77,4.6518,12.749,1.72,36.3024,32.4182,4.1762,4.7997,4.3875,0.8126,0.8734,38272.821,38169.4384,13927.1859,565289.5514,563762.6288
300203.SZ,20260819,12.7,1.7463,2.3012,0.81,,,2.1974,1.9017,1.9926,1.9685,,44873.76,44835.1025,34023.8192,569896.752,569405.77
300809.SZ,20260819,23.41,5.2822,6.8055,0.78,29.3613,31.017,3.2437,10.9248,11.3764,0.5126,0.5126,25353.92,15056.9504,11686.6672,593535.2672,352483.1995
002599.SZ,20260819,5.78,1.9476,2.2936,0.95,415.1869,321.902,2.531,1.5334,1.5547,0.3409,0.1705,54061.4787,41337.1086,35100.8781,312475.3544,238928.4958
920508.BJ,20260819,14.3,1.9458,3.0916,0.8,406.9465,337.3385,4.4503,9.6014,9.5659,1.1655,0.3497,6000.0,3190.5925,2008.08,85800.0,45625.4728
300783.SZ,20260819,16.88,2.9955,3.6015,0.93,43.6445,35.7503,2.1088,0.6655,0.6582,1.4775,0.6892,40168.64,28028.24,23311.84,678046.6432,473116.6912
002209.SZ,20260819,11.83,4.2162,4.9494,1.71,19.8767,21.9161,2.8158,1.3079,1.3855,0.4277,0.6762,20453.005,15784.8788,13446.4226,241959.1083,186735.1304
300599.SZ,20260819,11.72,3.9199,13.1407,0.82,,,2.1469,4.6142,4.6207,,0.849,35813.1567,18803.4392,5609.1642,419730.2352,220376.3168
300539.SZ,20260819,17.51,4.6051,7.4199,1.79,88.9854,91.0253,3.9337,4.8688,4.8843,0.6407,1.0851,26810.0662,21788.8237,13523.0406,469444.1506,381522.2382
002582.SZ,20260819,10.58,13.5604,15.2514,0.79,5.4692,2.4449,0.9263,3.5674,3.3287,9.2107,5.5884,44770.7891,34423.9578,30607.1057,473674.9582,364205.4968
600919.SH,20260819,11.95,0.6934,0.9606,1.83,6.3563,6.2119,0.83,2.4937,2.4416,4.3566,4.7203,1835132.4463,1835132.4463,1324741.9932,21929832.7775,21929832.7775
300777.SZ,20260819,23.39,3.4785,4.1312,2.08,32.6871,46.6651,2.2416,12.1556,14.3729,0.9381,0.9735,43970.7537,42238.6301,35565.5953,1028475.8425,987961.5557
000669.SZ,20260819,4.22,1.9244,2.427,1.1,104.9239,65.2029,47.2227,2.3008,2.2768,,,68040.8797,68040.8797,53950.9653,287132.5136,287132.5136
603041.SH,20260819,10.84,1.2987,2.1967,1.3,35.0313,33.7535,1.2985,3.2122,3.0923,1.0949,1.0949,18314.7692,18314.7692,10828.2692,198532.1068,198532.1068
300811.SZ,20260819,74.04,5.5794,8.4412,1.31,72.2146,69.7532,9.6518,16.7546,15.8215,0.1913,0.192,40782.9825,33474.1378,22125.3623,3019572.0243,2478425.1627
600108.SH,20260819,3.49,18.0582,25.11,5.04,119.3448,127.4387,1.5674,1.6019,1.61,0.1576,0.086,194691.5121,194691.5121,140015.2748,679473.3699,679473.3699
300819.SZ,20260819,44.3,3.5804,8.8914,1.11,117.6455,127.4289,7.4995,11.4464,11.5849,0.9029,0.5305,14920.5,13476.225,5426.615,660978.593,596996.989
301076.SZ,20260819,20.45,3.6053,4.2374,1.9,70.0491,70.5217,3.8748,10.5139,10.5423,0.6631,0.7496,22816.9435,15254.5761,12979.2285,466606.6275,311956.161
301051.SZ,20260819,19.91,6.1125,8.0601,0.64,,,2.9012,3.4491,3.7267,0.1495,,28426.0838,22583.7116,17126.5616,565963.2528,449641.6661
300162.SZ,20260819,7.52,7.2812,8.5174,1.04,,,3.8187,2.9659,3.0586,,,41951.003,34216.178,29250.153,315471.5952,257305.6736
000848.SZ,20260819,8.36,2.1108,3.7386,1.01,13.5977,12.7922,2.6442,2.687,2.5608,3.6925,5.9809,102000.0074,101061.4074,57058.2708,852720.0836,844873.3876
002660.SZ,20260819,7.34,1.9894,3.6295,1.47,,,2.6247,2.1364,2.1585,1.3624,,35662.6019,34298.671,18799.1556,261763.484,251752.2378
600337.SH,20260819,3.01,1.0396,1.9354,1.06,,,11.0237,1.6559,1.8354,0.3982,,143699.8137,143699.8137,77187.1513,432536.4281,432536.4281
300785.SZ,20260819,36.1,5.7143,7.6495,0.69,82.9746,72.7416,3.6541,5.5745,5.5597,0.4155,0.5208,19885.5243,12233.4285,9138.5473,717867.633,441626.823
300961.SZ,20260819,11.43,2.9941,3.528,1.08,,,3.6639,5.4222,5.5475,,,17728.0,15192.6936,12893.5705,202631.04,173652.4467
300859.SZ,20260819,25.75,2.0271,3.572,1.22,53.4436,59.452,5.3941,12.2451,12.5104,1.165,1.165,15500.0,15500.0,8796.26,399125.0,399125.0
688280.SH,20260819,5.35,2.4979,2.9953,1.25,20.9927,300.7591,4.8965,1.1572,1.1911,,,59022.1667,52054.4145,43409.2401,315768.556,278491.0935
600269.SH,20260819,3.75,0.7655,1.6894,0.93,6.8444,12.1067,0.4553,1.3939,1.4939,4.5333,4.5333,233540.7014,233540.7014,105826.7147,875777.625,875777.625
600165.SH,20260819,3.05,6.8697,6.8697,13.13,,,4.3095,11.0881,10.5239,,,161588.3775,73291.3646,73291.3646,492844.5285,223538.648
002806.SZ,20260819,13.57,3.719,3.9625,1.15,,,2.5847,2.4282,2.5029,,,21247.9189,17410.5085,16340.4905,288334.2744,236260.6207
301309.SZ,20260819,30.01,1.9783,4.7035,0.67,26.5281,26.8332,1.8008,3.5067,3.448,0.9944,0.9997,10053.44,6058.09,2548.09,301703.7344,181803.2809
002427.SZ,20260819,4.36,3.1536,7.6715,3.6,112.9618,338.1286,4.5388,1.9189,2.0118,,,98543.2777,98451.7986,40471.1292,429648.7008,429249.848
300572.SZ,20260819,18.52,3.4384,3.7423,1.58,,,2.6355,9.6584,9.7004,,,22898.8812,18127.7907,16655.5486,424087.2576,335726.6708
301323.SZ,20260819,70.3,2.5923,5.2433,1.38,54.1835,50.4358,3.3294,7.6661,7.168,0.829,0.6997,10658.439,6856.2663,3389.7163,749288.332,481995.781
600477.SH,20260819,2.33,1.6241,2.6617,1.04,47.2669,78.1623,1.0989,0.7735,1.0335,2.618,1.8026,235896.8436,235896.8436,143934.9772,549639.6372,549639.6372
920505.BJ,20260819,27.0,3.3542,6.7858,0.7,104.3343,120.3084,5.1407,10.6219,10.1005,0.554,0.3704,6478.5465,3601.0926,1780.0343,174920.7555,97229.5002
600498.SH,20260819,37.35,6.689,10.9397,0.89,116.3918,121.0595,2.8868,2.0357,1.9987,0.418,0.2597,135816.7482,127162.1456,77752.3715,5072755.6125,4749506.3025
688126.SH,20260819,26.7,4.4027,6.9164,1.3,,,5.2423,23.7469,22.0702,,,330502.3393,284209.937,180918.2092,8824412.478,7588405.398
300871.SZ,20260819,23.6,4.3025,8.0011,1.05,18.811,13.9351,2.0584,2.8325,2.7623,0.8738,1.2651,20178.4357,20178.4357,10850.8294,476211.184,476211.184
301356.SZ,20260819,19.53,2.1085,3.5011,1.59,50.0737,44.2028,1.4111,2.728,2.8371,,0.9473,21600.0,12669.75,7630.392,421848.0,247440.2175
920039.BJ,20260819,8.88,1.3383,4.0843,0.61,43.7883,46.7565,2.5126,4.9279,5.0141,2.2523,1.1261,15382.0,15381.99,5040.19,136592.16,136592.0712
000420.SZ,20260819,3.6,1.9999,2.6851,1.18,389.4314,212.2241,1.9935,1.6308,1.6044,,,245886.8343,245803.5643,183081.0907,885192.588,884892.816
603527.SH,20260819,9.64,1.7692,2.8635,1.06,48.4267,103.847,1.4404,0.2765,0.2417,1.6598,1.0373,31697.12,31697.12,19584.3908,305560.2368,305560.2368
600206.SH,20260819,58.87,21.6118,32.2983,1.68,188.2121,156.7209,11.4309,5.2228,4.2946,0.1852,0.1631,84655.3332,84655.3332,56645.4964,4983659.2771,4983659.2771
920088.BJ,20260819,47.07,24.5675,26.1902,1.56,73.2801,89.1877,5.9156,9.2855,8.9695,0.17,0.2124,8807.15,3256.623,3054.8484,414552.5505,153289.2446
301100.SZ,20260819,15.85,1.6401,2.7174,0.91,,,1.5861,2.7961,2.8722,,,20122.7,8872.7,5355.2,318944.795,140632.295
300025.SZ,20260819,5.11,2.0508,2.4381,0.75,,,6.0975,4.5741,4.6139,,,50879.2922,50665.3519,42615.9509,259993.1719,258899.9385
